symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T05:30:00+00:00,2026-03-09T10:30:00+00:00,5,10,crypto_volatility_expansion,structure_exit,67934.45714,67649.84950,0.01000,-3.28673,0.44065,20,1.00000,{'breakout_high': 67686.7}
X:BTCUSD,2026-03-10T02:30:00+00:00,2026-03-10T13:00:00+00:00,2,13,crypto_volatility_expansion,signal_exit,70342.54830,70755.62356,0.01000,3.67218,0.45857,42,1.00000,{'breakout_high': 69438.0}
X:BTCUSD,2026-03-11T17:15:00+00:00,2026-03-11T17:30:00+00:00,17,17,crypto_volatility_expansion,signal_exit,71308.79322,70827.81273,0.01000,-5.27175,0.46194,1,0.96038,{'breakout_high': 71117.0}
X:BTCUSD,2026-03-12T09:30:00+00:00,2026-03-12T09:45:00+00:00,9,9,crypto_volatility_expansion,signal_exit,70300.54200,69937.52630,0.01000,-4.08593,0.45577,1,0.97587,{'breakout_high': 70150.0}
X:BTCUSD,2026-03-13T00:00:00+00:00,2026-03-13T06:15:00+00:00,0,6,crypto_volatility_expansion,stale_breakout,71151.65965,71232.66200,0.01000,0.34727,0.46275,25,1.00000,{'breakout_high': 70769.0}
X:BTCUSD,2026-03-16T03:30:00+00:00,2026-03-16T08:15:00+00:00,3,8,crypto_volatility_expansion,signal_exit,73808.98819,73343.62531,0.01000,-5.13187,0.47825,19,1.00000,{'breakout_high': 73032.41}
X:BTCUSD,2026-03-16T13:30:00+00:00,2026-03-16T14:15:00+00:00,13,14,crypto_volatility_expansion,signal_exit,74127.32593,73603.58631,0.01000,-5.71752,0.48013,3,0.81316,{'breakout_high': 74058.19}
X:BTCUSD,2026-03-16T22:00:00+00:00,2026-03-16T23:00:00+00:00,22,23,crypto_volatility_expansion,signal_exit,74897.24140,74379.90984,0.01000,-5.65847,0.48515,4,0.76266,{'breakout_high': 74799.0}
X:BTCUSD,2026-03-19T19:00:00+00:00,2026-03-19T23:30:00+00:00,19,23,crypto_volatility_expansion,signal_exit,70398.55670,69836.44146,0.01000,-6.07692,0.45576,18,1.00000,{'breakout_high': 69970.0}
X:BTCUSD,2026-03-20T08:00:00+00:00,2026-03-20T09:00:00+00:00,8,9,crypto_volatility_expansion,signal_exit,71286.64989,70820.81378,0.01000,-5.12021,0.46185,4,1.00000,{'breakout_high': 70974.0}
X:BTCUSD,2026-03-20T21:15:00+00:00,2026-03-23T00:00:00+00:00,21,0,crypto_volatility_expansion,structure_exit,70514.42408,67947.80480,0.01000,-26.11620,0.45000,11,1.00000,{'breakout_high': 70289.0}
X:BTCUSD,2026-03-23T05:00:00+00:00,2026-03-23T06:30:00+00:00,5,6,crypto_volatility_expansion,structure_exit,68758.91079,67831.82220,0.01000,-9.71481,0.44392,6,0.77110,{'breakout_high': 68616.0}
X:BTCUSD,2026-03-23T11:00:00+00:00,2026-03-23T16:00:00+00:00,11,16,crypto_volatility_expansion,stale_breakout,71007.64805,70533.41690,0.01000,-5.20232,0.46001,20,1.00000,{'breakout_high': 68746.0}
X:BTCUSD,2026-03-24T07:45:00+00:00,2026-03-24T12:30:00+00:00,7,12,crypto_volatility_expansion,structure_exit,71299.69185,70857.42829,0.01000,-4.88465,0.46201,19,1.00000,{'breakout_high': 71018.0}
X:BTCUSD,2026-03-24T22:00:00+00:00,2026-03-24T22:15:00+00:00,22,22,crypto_volatility_expansion,signal_exit,70551.57965,70161.77266,0.01000,-4.35539,0.45732,1,0.83878,{'breakout_high': 70397.0}
X:BTCUSD,2026-03-25T05:00:00+00:00,2026-03-25T12:15:00+00:00,5,12,crypto_volatility_expansion,trailing_stop,71256.68540,71309.17052,0.01000,0.06151,0.46334,29,1.00000,{'breakout_high': 70983.0}
X:BTCUSD,2026-03-27T23:45:00+00:00,2026-03-30T00:00:00+00:00,23,0,crypto_volatility_expansion,stop_loss,66373.29300,65772.31117,0.01000,-6.43929,0.42947,1,0.59833,{'breakout_high': 66285.0}
X:BTCUSD,2026-03-31T00:45:00+00:00,2026-03-31T04:15:00+00:00,0,4,crypto_volatility_expansion,trailing_stop,67171.83276,67513.47996,0.01000,2.97874,0.43773,14,0.93719,{'breakout_high': 66984.0}
X:BTCUSD,2026-03-31T14:15:00+00:00,2026-03-31T14:30:00+00:00,14,14,crypto_volatility_expansion,signal_exit,67692.62087,67131.91720,0.01000,-6.04522,0.43818,1,0.90696,{'breakout_high': 67537.0}
X:BTCUSD,2026-04-01T05:15:00+00:00,2026-04-01T07:45:00+00:00,5,7,crypto_volatility_expansion,trailing_stop,68551.91975,68640.67085,0.01000,0.44164,0.44588,10,0.77384,{'breakout_high': 68437.0}
X:BTCUSD,2026-04-02T16:30:00+00:00,2026-04-02T17:45:00+00:00,16,17,crypto_volatility_expansion,signal_exit,67177.58363,66657.47838,0.01000,-5.63602,0.43496,5,0.71707,{'breakout_high': 67100.0}
X:BTCUSD,2026-04-03T07:30:00+00:00,2026-04-03T12:30:00+00:00,7,12,crypto_volatility_expansion,structure_exit,67088.16022,66814.97475,0.01000,-3.16704,0.43519,20,0.81165,{'breakout_high': 66945.85}
