symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMD,2022-12-13T15:45:00+00:00,2022-12-13T16:15:00+00:00,15,16,stock_gap_and_go,stop_loss,74.69218,73.17810,0.10000,-0.65289,0.50148,2,1.00000,{'minutes_from_open': 135.0}
AMD,2023-02-27T16:00:00+00:00,2023-02-28T15:45:00+00:00,16,15,stock_gap_and_go,stale_breakout,79.60316,77.85717,0.10000,-0.67617,0.50157,8,1.00000,{'minutes_from_open': 150.0}
AMD,2023-03-06T15:45:00+00:00,2023-03-06T17:15:00+00:00,15,17,stock_gap_and_go,trailing_stop,81.54355,82.30628,0.10000,-0.42537,0.50164,6,1.00000,{'minutes_from_open': 135.0}
AMD,2023-06-09T15:45:00+00:00,2023-06-09T17:15:00+00:00,15,17,stock_gap_and_go,trailing_stop,125.63236,125.68760,0.10000,-0.49699,0.50251,6,1.00000,{'minutes_from_open': 135.0}
AMD,2023-07-14T15:45:00+00:00,2023-07-17T15:45:00+00:00,15,15,stock_gap_and_go,stale_breakout,120.51134,112.87016,0.10000,-1.26645,0.50233,9,1.00000,{'minutes_from_open': 135.0}
AMD,2023-09-12T15:45:00+00:00,2023-09-12T16:15:00+00:00,15,16,stock_gap_and_go,trailing_stop,105.39832,104.75179,0.10000,-0.56675,0.50210,2,1.00000,{'minutes_from_open': 135.0}
AMD,2023-09-26T16:00:00+00:00,2023-09-26T17:30:00+00:00,16,17,stock_gap_and_go,stale_breakout,96.89662,96.25349,0.10000,-0.56624,0.50193,6,0.77169,{'minutes_from_open': 150.0}
AMD,2023-10-06T16:00:00+00:00,2023-10-09T16:45:00+00:00,16,16,stock_gap_and_go,trailing_stop,103.52794,105.08172,0.10000,-0.34671,0.50209,12,1.00000,{'minutes_from_open': 150.0}
AMD,2024-06-14T15:45:00+00:00,2024-06-14T17:15:00+00:00,15,17,stock_gap_and_go,stale_breakout,160.67937,159.17090,0.10000,-0.65405,0.50320,6,1.00000,{'minutes_from_open': 135.0}
AMD,2024-07-05T15:45:00+00:00,2024-07-08T15:45:00+00:00,15,15,stock_gap_and_go,take_profit,168.03084,175.43765,0.10000,0.23725,0.50343,9,1.00000,{'minutes_from_open': 135.0}
AMD,2024-09-09T16:00:00+00:00,2024-09-09T16:30:00+00:00,16,16,stock_gap_and_go,stop_loss,137.33470,135.60561,0.10000,-0.67564,0.50273,2,1.00000,{'minutes_from_open': 150.0}
AMD,2024-09-23T16:00:00+00:00,2024-09-23T16:45:00+00:00,16,16,stock_gap_and_go,trailing_stop,156.04844,155.90155,0.10000,-0.51781,0.50312,3,1.00000,{'minutes_from_open': 150.0}
AMD,2024-10-03T16:00:00+00:00,2024-10-03T16:45:00+00:00,16,16,stock_gap_and_go,stop_loss,165.94042,163.17010,0.10000,-0.78032,0.50329,3,1.00000,{'minutes_from_open': 150.0}
AMD,2024-10-25T15:45:00+00:00,2024-10-29T15:45:00+00:00,15,15,stock_gap_and_go,take_profit,157.96883,162.48024,0.10000,-0.05206,0.50320,18,1.00000,{'minutes_from_open': 135.0}
AMD,2024-11-22T15:45:00+00:00,2024-11-22T16:00:00+00:00,15,16,stock_gap_and_go,stop_loss,138.65497,137.25528,0.10000,-0.64273,0.50276,1,1.00000,{'minutes_from_open': 135.0}
AMD,2024-12-12T15:45:00+00:00,2024-12-13T15:45:00+00:00,15,15,stock_gap_and_go,stale_breakout,130.33330,129.70679,0.10000,-0.56525,0.50260,9,1.00000,{'minutes_from_open': 135.0}
AMD,2024-12-23T15:45:00+00:00,2024-12-27T15:45:00+00:00,15,15,stock_gap_and_go,time_stop,124.77219,123.60801,0.10000,-0.61890,0.50248,27,1.00000,{'minutes_from_open': 135.0}
