symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:XAUUSD,2023-04-13T12:00:00+00:00,2023-04-14T12:00:00+00:00,12,12,volatility_breakout,signal_exit,2045.43810,2024.16353,0.10000,-213.03055,0.28487,5,1.00000,{'breakout_high': 2029.19}
C:XAUUSD,2023-05-03T16:00:00+00:00,2023-05-04T08:00:00+00:00,16,8,volatility_breakout,trailing_stop,2024.50642,2033.95275,0.10000,94.17914,0.28409,3,1.00000,{'breakout_high': 2019.49}
C:XAUUSD,2023-06-01T16:00:00+00:00,2023-06-02T12:00:00+00:00,16,12,volatility_breakout,signal_exit,1978.89277,1970.48782,0.10000,-84.32596,0.27646,4,1.00000,{'breakout_high': 1974.77}
C:XAUUSD,2023-08-23T16:00:00+00:00,2023-08-29T12:00:00+00:00,16,12,volatility_breakout,time_stop,1920.23808,1916.51214,0.10000,-37.52797,0.26857,19,1.00000,{'breakout_high': 1908.64}
C:XAUUSD,2023-09-18T16:00:00+00:00,2023-09-19T16:00:00+00:00,16,16,volatility_breakout,trailing_stop,1931.50898,1930.48102,0.10000,-10.54993,0.27034,5,0.64448,{'breakout_high': 1930.61}
C:XAUUSD,2023-11-16T16:00:00+00:00,2023-11-17T16:00:00+00:00,16,16,volatility_breakout,trailing_stop,1983.84317,1980.62701,0.10000,-32.43909,0.27751,5,1.00000,{'breakout_high': 1975.15}
C:XAUUSD,2023-11-28T12:00:00+00:00,2023-11-29T04:00:00+00:00,12,4,volatility_breakout,take_profit,2021.93622,2045.53182,0.10000,235.67130,0.28472,3,1.00000,{'breakout_high': 2017.65}
C:XAUUSD,2023-12-19T16:00:00+00:00,2023-12-20T12:00:00+00:00,16,12,volatility_breakout,signal_exit,2040.88773,2035.93259,0.10000,-49.83683,0.28538,4,1.00000,{'breakout_high': 2033.6}
C:XAUUSD,2024-01-31T16:00:00+00:00,2024-02-02T12:00:00+00:00,16,12,volatility_breakout,stale_breakout,2050.12847,2031.21297,0.10000,-189.44077,0.28569,9,0.97212,{'breakout_high': 2048.61}
C:XAUUSD,2024-02-23T16:00:00+00:00,2024-02-26T16:00:00+00:00,16,16,volatility_breakout,stale_breakout,2038.39753,2028.24320,0.10000,-101.82798,0.28466,5,1.00000,{'breakout_high': 2034.8}
C:XAUUSD,2024-03-26T12:00:00+00:00,2024-03-26T16:00:00+00:00,12,16,volatility_breakout,signal_exit,2188.35953,2176.31136,0.10000,-120.78726,0.30553,1,1.00000,{'breakout_high': 2181.3}
C:XAUUSD,2024-04-16T16:00:00+00:00,2024-04-17T20:00:00+00:00,16,20,volatility_breakout,stale_breakout,2397.97630,2370.57581,0.10000,-274.33864,0.33380,6,1.00000,{'breakout_high': 2389.28}
C:XAUUSD,2024-05-09T12:00:00+00:00,2024-05-13T04:00:00+00:00,12,4,volatility_breakout,trailing_stop,2327.20064,2353.77716,0.10000,265.43755,0.32767,8,1.00000,{'breakout_high': 2321.38}
C:XAUUSD,2024-06-20T16:00:00+00:00,2024-06-21T16:00:00+00:00,16,16,volatility_breakout,stop_loss,2356.84301,2324.17953,0.10000,-326.96249,0.32767,5,1.00000,{'breakout_high': 2345.63}
C:XAUUSD,2024-08-12T16:00:00+00:00,2024-08-13T04:00:00+00:00,16,4,volatility_breakout,trailing_stop,2463.59155,2461.47854,0.10000,-21.47481,0.34475,2,1.00000,{'breakout_high': 2445.41}
C:XAUUSD,2024-08-29T16:00:00+00:00,2026-04-21T08:00:00+00:00,16,8,volatility_breakout,end_of_run,2525.75652,4788.44237,0.10000,22626.34650,0.51199,2093,0.58481,{'breakout_high': 2524.37}
