symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-07T17:45:00+00:00,2025-04-07T18:55:00+00:00,17,18,stock_news_momentum,structure_exit,359.41187,357.18355,0.10000,-0.73000,0.50717,14,1.00000,"{'news_count_1d': 1.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-08T13:30:00+00:00,2025-04-08T15:00:00+00:00,13,15,stock_news_momentum,time_stop,370.59910,369.56607,0.10000,-0.61070,0.50740,18,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-09T13:30:00+00:00,2025-04-09T16:50:00+00:00,13,16,stock_news_momentum,take_profit,356.65132,365.49689,0.10000,0.37734,0.50722,40,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-09T19:45:00+00:00,2025-04-09T20:00:00+00:00,19,20,stock_news_momentum,trailing_stop,389.97798,389.87201,0.10000,-0.51840,0.50780,3,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-10T19:10:00+00:00,2025-04-10T19:40:00+00:00,19,19,stock_news_momentum,structure_exit,380.98118,378.06437,0.10000,-0.79927,0.50759,6,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-11T16:05:00+00:00,2025-04-11T17:25:00+00:00,16,17,stock_news_momentum,structure_exit,386.71233,385.35291,0.10000,-0.64366,0.50772,16,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-11T19:50:00+00:00,2025-04-11T20:00:00+00:00,19,20,stock_news_momentum,structure_exit,388.82775,388.25233,0.10000,-0.56531,0.50777,2,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-15T13:30:00+00:00,2025-04-15T14:15:00+00:00,13,14,stock_news_momentum,structure_exit,390.10300,386.95759,0.10000,-0.82231,0.50777,9,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-17T16:05:00+00:00,2025-04-17T16:45:00+00:00,16,16,stock_news_momentum,structure_exit,372.20443,370.07597,0.10000,-0.72027,0.50742,8,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-21T19:50:00+00:00,2025-04-22T13:00:00+00:00,19,13,stock_news_momentum,take_profit,358.86176,362.41750,0.10000,-0.15164,0.50721,13,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 1.0}"
