symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-23T09:25:00+00:00,2025-07-23T09:35:00+00:00,9,9,forex_short_breakdown_momentum,signal_exit,146.82313,147.02088,0.10000,-1977.96898,0.50000,2,0.95245,"{'breakout_low': 146.852, 'rebound_high': 147.145, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-23T12:30:00+00:00,2025-07-23T14:40:00+00:00,12,14,forex_short_breakdown_momentum,take_profit,146.53014,146.16385,0.10000,3662.43009,0.50000,26,1.00000,"{'breakout_low': 146.604, 'rebound_high': 146.738, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-24T07:05:00+00:00,2025-07-24T07:20:00+00:00,7,7,forex_short_breakdown_momentum,stop_loss,146.07484,145.95716,0.10000,-1177.34018,0.50000,3,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-25T10:05:00+00:00,2025-07-25T11:00:00+00:00,10,11,forex_short_breakdown_momentum,take_profit,147.17688,147.46511,0.10000,2881.75410,0.50000,11,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-28T08:10:00+00:00,2025-07-28T08:25:00+00:00,8,8,forex_short_breakdown_momentum,trailing_stop,147.80790,147.75910,0.10000,-488.56689,0.50000,3,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-29T07:05:00+00:00,2025-07-29T07:45:00+00:00,7,7,forex_short_breakdown_momentum,trailing_stop,148.39192,148.35608,0.10000,-358.97672,0.50000,8,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-29T08:05:00+00:00,2025-07-29T09:30:00+00:00,8,9,forex_short_breakdown_momentum,trailing_stop,148.27908,148.34992,0.10000,-708.93542,0.50000,17,0.92530,"{'breakout_low': 148.305, 'rebound_high': 148.406, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-29T09:35:00+00:00,2025-07-29T10:10:00+00:00,9,10,forex_short_breakdown_momentum,take_profit,148.39892,148.63907,0.10000,2400.92265,0.50000,7,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T07:00:00+00:00,2025-07-30T08:20:00+00:00,7,8,forex_short_breakdown_momentum,stale_breakout,148.09791,147.89509,0.10000,-2028.71472,0.50000,16,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T10:00:00+00:00,2025-07-30T12:05:00+00:00,10,12,forex_short_breakdown_momentum,stale_breakout,147.95591,147.86209,0.10000,-938.65399,0.50000,25,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T12:30:00+00:00,2025-07-30T12:45:00+00:00,12,12,forex_short_breakdown_momentum,stop_loss,148.06891,147.98409,0.10000,-848.73554,0.50000,3,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-31T07:30:00+00:00,2025-07-31T08:00:00+00:00,7,8,forex_short_breakdown_momentum,trailing_stop,148.87994,148.86406,0.10000,-159.32234,0.50000,6,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-31T09:20:00+00:00,2025-07-31T09:35:00+00:00,9,9,forex_short_breakdown_momentum,stop_loss,148.71206,148.92194,0.10000,-2099.28417,0.50000,3,1.00000,"{'breakout_low': 148.727, 'rebound_high': 148.823, 'position_intent': 'short_entry'}"
C:USDJPY,2025-08-01T10:00:00+00:00,2025-08-01T10:05:00+00:00,10,10,forex_short_breakdown_momentum,stop_loss,150.61500,150.48400,0.10000,-1310.48659,0.50000,1,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-08-01T12:30:00+00:00,2025-08-01T12:40:00+00:00,12,12,forex_short_breakdown_momentum,stop_loss,150.42800,150.52800,0.10000,-1000.43696,0.50000,2,1.00000,"{'breakout_low': 150.47, 'rebound_high': 150.541, 'position_intent': 'short_entry'}"
C:USDJPY,2025-08-01T12:45:00+00:00,2025-08-01T12:50:00+00:00,12,12,forex_short_breakdown_momentum,stop_loss,150.56900,150.45400,0.10000,-1150.46021,0.50000,1,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-08-04T09:40:00+00:00,2025-08-04T09:55:00+00:00,9,9,forex_short_breakdown_momentum,trailing_stop,147.58910,147.65490,0.10000,-658.45480,0.50000,3,1.00000,"{'breakout_low': 147.634, 'rebound_high': 147.822, 'position_intent': 'short_entry'}"
C:USDJPY,2025-08-04T10:05:00+00:00,2025-08-04T12:05:00+00:00,10,12,forex_short_breakdown_momentum,stale_breakout,147.85691,147.86209,0.10000,51.38037,0.50000,24,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-08-04T12:15:00+00:00,2025-08-04T12:55:00+00:00,12,12,forex_short_breakdown_momentum,trailing_stop,147.76010,147.82390,0.10000,-638.57279,0.50000,8,1.00000,"{'breakout_low': 147.817, 'rebound_high': 147.943, 'position_intent': 'short_entry'}"
C:USDJPY,2025-08-05T07:35:00+00:00,2025-08-05T08:00:00+00:00,7,8,forex_short_breakdown_momentum,trailing_stop,147.10312,147.14388,0.10000,-408.10882,0.50000,5,0.74745,"{'breakout_low': 147.132, 'rebound_high': 147.213, 'position_intent': 'short_entry'}"
