name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
forex_trend_continuation__15m_europe,Forex trend continuation [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\eurusd_forex_trend_continuation__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_trend_continuation__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_range_reversion__15m_europe,Forex range reversion [15m_europe],single,-36.68097,9,11.11111,0.00306,0.03668,4.50000,-4.07566,0.11261,-4.59920,0.02449,1.55556,signal_exit,100.00000,1,0.00000,0.00000,trend_flat_vol_low,-36.68097,trend_flat_vol_low,-36.68097,100.00000,,2,0.00000,-21.21870,0.00000,0.00000,0.00000,-19.00691,-15.79307,0.00000,2,0.00000,0.00000,0,artifacts\eurusd_forex_range_reversion__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_range_reversion__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__15m_europe,Forex breakout momentum [15m_europe],single,-26.03422,47,38.29787,0.95595,0.11948,23.50000,-0.55392,31.38972,-20.38101,1.54015,7.59574,stop_loss,29.78723,1,0.00000,0.00000,trend_flat_vol_mid,121.27666,trend_flat_vol_low,-129.18156,70.21277,,2,50.00000,51.04282,-55.35217,1.42137,0.64634,-10.70994,5.96076,1.04794,9,8.57726,1.06912,8,artifacts\eurusd_forex_breakout_momentum__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_breakout_momentum__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_short_trend_continuation__15m_europe,Forex short trend continuation [15m_europe],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\eurusd_forex_short_trend_continuation__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_trend_continuation__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_europe,Forex short breakdown momentum [15m_europe],single,1.98112,84,35.71429,1.00298,0.15133,42.00000,0.02358,22.23021,-12.31343,1.80536,6.11905,stop_loss,27.38095,1,0.00000,0.00000,trend_flat_vol_mid,151.26462,trend_flat_vol_low,-74.11250,73.80952,,2,0.00000,-82.78536,75.93787,0.44102,1.40042,-158.42216,-65.03466,0.63625,22,127.93916,1.68511,19,artifacts\eurusd_forex_short_breakdown_momentum__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_breakdown_momentum__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_trend_continuation__15m_europe__exit_trend,Forex trend continuation [15m_europe] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\eurusd_forex_trend_continuation__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_trend_continuation__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
forex_trend_continuation__15m_europe__exit_fastfail,Forex trend continuation [15m_europe] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\eurusd_forex_trend_continuation__15m_europe__exit_fastfail_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_trend_continuation__15m_europe__exit_fastfail_15m_europe_symbol_candidate_analysis.txt
forex_range_reversion__15m_europe__exit_quick,Forex range reversion [15m_europe] with quick-fail mean reversion exits,entry_exit_family,-36.68097,9,11.11111,0.00306,0.03668,4.50000,-4.07566,0.11261,-4.59920,0.02449,1.55556,signal_exit,66.66667,1,0.00000,0.00000,trend_flat_vol_low,-36.68097,trend_flat_vol_low,-36.68097,100.00000,,2,0.00000,-21.21870,0.00000,0.00000,0.00000,-19.00691,-15.79307,0.00000,2,0.00000,0.00000,0,artifacts\eurusd_forex_range_reversion__15m_europe__exit_quick_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_range_reversion__15m_europe__exit_quick_15m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__15m_europe__exit_trend,Forex breakout momentum [15m_europe] with trend-runner exits,entry_exit_family,-22.53431,47,38.29787,0.96244,0.11598,23.50000,-0.47945,32.07860,-20.68790,1.55060,8.36170,stop_loss,36.17021,1,0.00000,0.00000,trend_flat_vol_mid,121.27666,trend_flat_vol_low,-125.68164,70.21277,,2,0.00000,42.29304,-71.80176,1.32680,0.52750,17.98935,-2.93901,0.97794,9,-7.72233,0.93777,8,artifacts\eurusd_forex_breakout_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_breakout_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__15m_europe__exit_fastfail,Forex breakout momentum [15m_europe] with fast-fail exits,entry_exit_family,-162.11297,48,31.25000,0.70626,0.25886,24.00000,-3.37735,25.98543,-16.72407,1.55377,5.83333,structure_exit,37.50000,1,0.00000,0.00000,trend_up_vol_low,17.95172,trend_flat_vol_low,-125.38165,68.75000,,2,0.00000,-60.40439,-21.35302,0.37980,0.81176,-51.20892,-89.23686,0.00000,9,31.07670,1.30590,8,artifacts\eurusd_forex_breakout_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_breakout_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_analysis.txt
forex_short_trend_continuation__15m_europe__exit_trend,Forex short trend continuation [15m_europe] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\eurusd_forex_short_trend_continuation__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\eurusd_forex_short_trend_continuation__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
