symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-23T09:25:00+00:00,2025-07-23T09:35:00+00:00,9,9,forex_short_breakdown_momentum,structure_exit,146.82313,147.02088,0.10000,-1977.96898,0.50000,2,0.95245,"{'breakout_low': 146.852, 'rebound_high': 147.145, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-23T12:30:00+00:00,2025-07-23T13:20:00+00:00,12,13,forex_short_breakdown_momentum,take_profit,146.53014,146.33385,0.10000,1962.37110,0.50000,10,1.00000,"{'breakout_low': 146.604, 'rebound_high': 146.738, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-24T07:05:00+00:00,2025-07-24T07:15:00+00:00,7,7,forex_short_breakdown_momentum,structure_exit,146.07484,146.00216,0.10000,-727.35580,0.50000,2,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-25T10:05:00+00:00,2025-07-25T10:15:00+00:00,10,10,forex_short_breakdown_momentum,structure_exit,147.17688,147.13612,0.10000,-408.13173,0.50000,2,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-28T08:10:00+00:00,2025-07-28T08:25:00+00:00,8,8,forex_short_breakdown_momentum,trailing_stop,147.80790,147.75910,0.10000,-488.56689,0.50000,3,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-29T07:05:00+00:00,2025-07-29T07:45:00+00:00,7,7,forex_short_breakdown_momentum,trailing_stop,148.39192,148.35608,0.10000,-358.97672,0.50000,8,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-29T08:05:00+00:00,2025-07-29T08:45:00+00:00,8,8,forex_short_breakdown_momentum,trailing_stop,148.27908,148.27692,0.10000,21.08991,0.50000,8,0.92530,"{'breakout_low': 148.305, 'rebound_high': 148.406, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-29T09:35:00+00:00,2025-07-29T09:55:00+00:00,9,9,forex_short_breakdown_momentum,take_profit,148.39892,148.50407,0.10000,1050.96950,0.50000,4,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T07:00:00+00:00,2025-07-30T08:20:00+00:00,7,8,forex_short_breakdown_momentum,structure_exit,148.09791,147.89509,0.10000,-2028.71472,0.50000,16,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T10:00:00+00:00,2025-07-30T10:10:00+00:00,10,10,forex_short_breakdown_momentum,structure_exit,147.95591,147.89709,0.10000,-588.66613,0.50000,2,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-30T12:05:00+00:00,2025-07-30T12:30:00+00:00,12,12,forex_short_breakdown_momentum,structure_exit,147.86209,148.06891,0.10000,-2068.69320,0.50000,5,1.00000,"{'breakout_low': 147.92, 'rebound_high': 148.0, 'position_intent': 'short_entry'}"
C:USDJPY,2025-07-31T07:30:00+00:00,2025-07-31T08:00:00+00:00,7,8,forex_short_breakdown_momentum,trailing_stop,148.87994,148.86406,0.10000,-159.32234,0.50000,6,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
C:USDJPY,2025-07-31T09:20:00+00:00,2025-07-31T09:35:00+00:00,9,9,forex_short_breakdown_momentum,structure_exit,148.71206,148.92194,0.10000,-2099.28417,0.50000,3,1.00000,"{'breakout_low': 148.727, 'rebound_high': 148.823, 'position_intent': 'short_entry'}"
C:USDJPY,2025-08-01T10:00:00+00:00,2025-08-01T10:05:00+00:00,10,10,forex_short_breakdown_momentum,stop_loss,150.61500,150.48400,0.10000,-1310.48659,0.50000,1,0.70000,"{'breakout_reversal': 1.0, 'position_intent': 'short_exit'}"
