symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMZN,2022-08-03T17:15:00+00:00,2022-08-04T16:30:00+00:00,17,16,momentum_confirmation,take_profit,137.88757,141.17176,0.10000,-0.17437,0.50279,3,1.00000,"{'momentum_5': 0.024296010104762678, 'momentum_20': 0.011148599090509137}"
AMZN,2022-08-08T17:00:00+00:00,2022-08-08T17:45:00+00:00,17,17,momentum_confirmation,stop_loss,143.07861,141.43171,0.10000,-0.66754,0.50285,3,1.00000,"{'momentum_5': 0.019528187584634038, 'momentum_20': 0.022296862717072763}"
AMZN,2022-08-10T17:15:00+00:00,2022-08-11T17:45:00+00:00,17,17,momentum_confirmation,trailing_stop,141.65833,142.96140,0.10000,-0.37254,0.50285,8,1.00000,"{'momentum_5': 0.029587089270136646, 'momentum_20': 0.029661941112322676}"
AMZN,2022-08-25T16:45:00+00:00,2022-08-26T17:15:00+00:00,16,17,momentum_confirmation,structure_exit,135.86717,135.15296,0.10000,-0.57413,0.50271,8,1.00000,"{'momentum_5': 0.009962825278810428, 'momentum_20': 0.0069681245366939315}"
AMZN,2022-08-31T16:45:00+00:00,2022-08-31T17:15:00+00:00,16,17,momentum_confirmation,stop_loss,129.84596,128.24435,0.10000,-0.66274,0.50258,2,1.00000,"{'momentum_5': 0.007684545525110442, 'momentum_20': 0.01620352250489221}"
AMZN,2022-09-02T16:45:00+00:00,2022-09-06T16:30:00+00:00,16,16,momentum_confirmation,structure_exit,128.72574,126.96460,0.10000,-0.67867,0.50256,5,1.00000,"{'momentum_5': 0.013066750629722845, 'momentum_20': 0.039579967689822304}"
AMZN,2022-09-08T17:45:00+00:00,2022-09-09T16:30:00+00:00,17,16,momentum_confirmation,take_profit,129.85597,131.26374,0.10000,-0.36183,0.50261,1,1.00000,"{'momentum_5': 0.009643051559219185, 'momentum_20': 0.021238102729489672}"
AMZN,2022-09-12T17:30:00+00:00,2022-09-13T16:30:00+00:00,17,16,momentum_confirmation,stop_loss,135.66713,130.14397,0.10000,-1.05497,0.50266,2,1.00000,"{'momentum_5': 0.017783447137390107, 'momentum_20': 0.027809350609987016}"
AMZN,2022-09-15T16:30:00+00:00,2022-09-15T17:45:00+00:00,16,17,momentum_confirmation,structure_exit,129.13582,126.88462,0.10000,-0.72768,0.50256,5,1.00000,"{'momentum_5': 0.011199874686716793, 'momentum_20': 0.008750683647160029}"
AMZN,2022-09-19T17:30:00+00:00,2022-09-20T17:00:00+00:00,17,17,momentum_confirmation,structure_exit,124.16483,123.30533,0.10000,-0.58842,0.50247,4,1.00000,"{'momentum_5': 0.004531477585369759, 'momentum_20': 0.014630159378831165}"
AMZN,2022-09-26T17:15:00+00:00,2022-09-27T16:45:00+00:00,17,16,momentum_confirmation,trailing_stop,116.99339,116.67666,0.10000,-0.53401,0.50234,4,1.00000,"{'momentum_5': 0.02776557420261838, 'momentum_20': 0.023538676933846592}"
