symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
C:USDJPY,2025-07-23T15:35:00+00:00,2025-07-23T16:50:00+00:00,15,16,forex_breakout_momentum,trailing_stop,146.47466,146.52134,0.01000,46.62510,0.05000,15,0.84006,{'breakout_high': 146.438}
C:USDJPY,2025-07-24T15:30:00+00:00,2025-07-24T16:35:00+00:00,15,16,forex_breakout_momentum,trailing_stop,146.66667,146.65133,0.01000,-15.38295,0.05000,13,0.89248,{'breakout_high': 146.622}
C:USDJPY,2025-07-24T18:00:00+00:00,2025-07-24T19:40:00+00:00,18,19,forex_breakout_momentum,stale_breakout,146.86767,146.78833,0.01000,-79.39140,0.05000,20,1.00000,{'breakout_high': 146.813}
C:USDJPY,2025-07-25T14:20:00+00:00,2025-07-25T14:35:00+00:00,14,14,forex_breakout_momentum,signal_exit,147.91470,147.82630,0.01000,-88.44352,0.05000,3,0.63958,{'breakout_high': 147.899}
C:USDJPY,2025-07-28T16:40:00+00:00,2025-07-28T17:10:00+00:00,16,17,forex_breakout_momentum,trailing_stop,148.20270,148.16830,0.01000,-34.45927,0.05000,6,0.97527,{'breakout_high': 148.182}
C:USDJPY,2025-07-28T18:05:00+00:00,2025-07-29T00:05:00+00:00,18,0,forex_breakout_momentum,trailing_stop,148.34271,148.45129,0.01000,108.53015,0.05000,70,1.00000,{'breakout_high': 148.326}
C:USDJPY,2025-07-29T14:30:00+00:00,2025-07-29T15:15:00+00:00,14,15,forex_breakout_momentum,trailing_stop,148.63872,148.68228,0.01000,43.51698,0.05000,9,1.00000,{'breakout_high': 148.61}
C:USDJPY,2025-07-30T13:05:00+00:00,2025-07-30T14:00:00+00:00,13,14,forex_breakout_momentum,trailing_stop,148.07970,148.11630,0.01000,36.54510,0.05000,11,0.58646,{'breakout_high': 148.068}
C:USDJPY,2025-07-30T18:50:00+00:00,2025-07-30T19:20:00+00:00,18,19,forex_breakout_momentum,stop_loss,149.10073,149.01327,0.01000,-87.50285,0.05000,6,1.00000,{'breakout_high': 149.066}
C:USDJPY,2025-07-31T15:30:00+00:00,2025-07-31T18:10:00+00:00,15,18,forex_breakout_momentum,signal_exit,150.14975,150.38224,0.01000,232.43670,0.05000,32,1.00000,{'breakout_high': 150.1}
C:USDJPY,2025-07-31T19:00:00+00:00,2025-07-31T19:35:00+00:00,19,19,forex_breakout_momentum,trailing_stop,150.64377,150.67323,0.01000,29.41708,0.05000,7,0.87153,{'breakout_high': 150.601}
C:USDJPY,2025-08-05T15:30:00+00:00,2025-08-05T16:10:00+00:00,15,16,forex_breakout_momentum,stop_loss,147.72969,147.55831,0.01000,-171.43220,0.05000,8,1.00000,{'breakout_high': 147.695}
C:USDJPY,2025-08-05T16:50:00+00:00,2025-08-05T17:00:00+00:00,16,17,forex_breakout_momentum,stop_loss,147.81570,147.59431,0.01000,-221.43525,0.05000,2,1.00000,{'breakout_high': 147.752}
C:USDJPY,2025-08-05T20:45:00+00:00,2025-08-05T22:40:00+00:00,20,22,forex_breakout_momentum,stale_breakout,147.65169,147.63431,0.01000,-17.43215,0.05000,23,1.00000,{'breakout_high': 147.601}
C:USDJPY,2025-08-06T18:35:00+00:00,2025-08-06T18:45:00+00:00,18,18,forex_breakout_momentum,signal_exit,147.48869,147.32632,0.01000,-162.42037,0.05000,2,1.00000,{'breakout_high': 147.435}
C:USDJPY,2025-08-07T17:05:00+00:00,2025-08-07T18:30:00+00:00,17,18,forex_breakout_momentum,trailing_stop,147.39868,147.34632,0.01000,-52.41862,0.05000,17,1.00000,{'breakout_high': 147.361}
C:USDJPY,2025-08-11T17:00:00+00:00,2025-08-11T18:40:00+00:00,17,18,forex_breakout_momentum,stale_breakout,148.02970,147.95430,0.01000,-75.44960,0.05000,20,1.00000,{'breakout_high': 147.948}
C:USDJPY,2025-08-13T14:05:00+00:00,2025-08-13T14:45:00+00:00,14,14,forex_breakout_momentum,trailing_stop,147.47069,147.45031,0.01000,-20.42302,0.05000,8,1.00000,{'breakout_high': 147.436}
C:USDJPY,2025-08-14T15:30:00+00:00,2026-04-07T18:05:00+00:00,15,18,forex_breakout_momentum,end_of_run,146.90667,160.00400,0.01000,13097.27723,0.05000,47476,1.00000,{'breakout_high': 146.627}
